Protein.Group	Protein.Names	Genes	CC mapped	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-01.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-02.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-03.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-04.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-05.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-06.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-07.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-08.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-09.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-10.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-11.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-12.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-13.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-14.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-15.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-16.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-17.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-18.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-19.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-20.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-21.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-22.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-23.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-24.raw
Q9BV81	EMC6_HUMAN	EMC6		ER membrane protein complex subunit 6	3	3	4.97E+07	3.84E+07	5.40E+07	6.75E+07	6.46E+07	5.79E+07	5.28E+07	4.79E+07	4.31E+07	4.32E+07	5.09E+07	4.11E+07	4.69E+07	4.99E+07	4.85E+07	4.69E+07	5.06E+07	7.76E+07	9.10E+07	7.32E+07	6.93E+07	6.57E+07	7.11E+07	6.85E+07
Q2M2I8	AAK1_HUMAN	AAK1	AAK1	AP2-associated protein kinase 1	35	32	1.39E+07	1.21E+07	1.38E+07	1.47E+07	1.45E+07	1.47E+07	1.57E+07	1.26E+07	1.18E+07	1.40E+07	1.30E+07	1.24E+07	1.31E+07	1.11E+07	1.37E+07	1.29E+07	1.23E+07	1.50E+07	1.70E+07	1.42E+07	1.81E+07	1.65E+07	1.66E+07	1.71E+07
Q15651	HMGN3_HUMAN	HMGN3		High mobility group nucleosome-binding domain-containing protein 3	6	5	2.75E+08	2.53E+08	2.54E+08	2.59E+08	2.56E+08	2.44E+08	2.38E+08	2.32E+08	2.49E+08	2.53E+08	2.27E+08	2.59E+08	3.79E+08	3.53E+08	3.80E+08	3.34E+08	2.81E+08	3.71E+08	3.83E+08	3.13E+08	3.95E+08	3.31E+08	3.17E+08	3.77E+08
Q8WYA6	CTBL1_HUMAN	CTNNBL1		Beta-catenin-like protein 1	27	27	3.40E+07	2.94E+07	3.01E+07	3.24E+07	3.22E+07	3.27E+07	3.29E+07	2.85E+07	2.70E+07	3.09E+07	3.00E+07	2.74E+07	3.65E+07	3.46E+07	3.88E+07	3.83E+07	3.58E+07	4.41E+07	4.46E+07	3.64E+07	4.80E+07	4.21E+07	4.20E+07	4.47E+07
Q6ICH7	ASPH2_HUMAN	ASPHD2		Aspartate beta-hydroxylase domain-containing protein 2	6	6	1.35E+06	1.00E+06	987780	1.09E+06	1.07E+06	838038	978970	938022	861197	914117	820332		878475	902021	882284	1.17E+06	1.04E+06	1.11E+06	1.13E+06	701505	917162	1.01E+06	880499	1.06E+06
Q9NXR5	ANR10_HUMAN	ANKRD10		Ankyrin repeat domain-containing protein 10	4	4	2.77E+06	1.57E+06	2.78E+06	3.55E+06	2.75E+06	2.74E+06		3.49E+06	4.50E+06	5.39E+06	5.48E+06	2.65E+06		2.39E+06	2.34E+06		3.15E+06	6.30E+06	5.67E+06	5.70E+06	3.61E+06	6.56E+06	3.46E+06	4.16E+06
Q9UQR1	ZN148_HUMAN	ZNF148	ZNF148	Zinc finger protein 148	18	18	1.89E+06	1.74E+06	1.48E+06	1.78E+06	1.65E+06	1.53E+06	1.95E+06	1.82E+06	1.77E+06	1.73E+06	1.53E+06	1.61E+06	2.45E+06	2.07E+06	2.16E+06	2.22E+06	1.81E+06	1.98E+06	2.03E+06	1.95E+06	2.60E+06	1.91E+06	2.28E+06	2.70E+06
Q8WVC6	DCAKD_HUMAN	DCAKD	DCAKD	Dephospho-CoA kinase domain-containing protein	16	16	3.61E+07	3.18E+07	3.59E+07	3.69E+07	3.66E+07	3.62E+07	3.71E+07	3.36E+07	3.12E+07	3.61E+07	3.63E+07	3.23E+07	4.15E+07	3.68E+07	4.22E+07	4.20E+07	3.95E+07	5.00E+07	5.36E+07	4.53E+07	5.41E+07	4.95E+07	5.10E+07	5.29E+07
Q8N0S6	CENPL_HUMAN	CENPL		Centromere protein L	2	2		364774					160917			362725					395035					162008		391240	361523	
Q5HYK3	COQ5_HUMAN	COQ5		"2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial"	16	16	3.34E+06	2.95E+06	3.07E+06	3.04E+06	3.21E+06	2.99E+06	3.62E+06	3.05E+06	2.93E+06	3.08E+06	2.91E+06	2.68E+06	4.23E+06	4.18E+06	4.83E+06	4.59E+06	4.47E+06	5.80E+06	5.83E+06	5.76E+06	6.89E+06	5.95E+06	6.09E+06	6.18E+06
